Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2021-12-18-13:14:43,0,0,0,0,0,0,0,0,0,0,0,1.01261744252683
2021-12-18-13:16:21,1,0,0,0,0,0,0,0,0,0,0,0.420048579965981
2021-12-18-13:24:51,0,1,0,0,0,0,0,0,0,0,0,1.01707145692239
2021-12-18-13:25:05,0,0,1,0,0,0,0,0,0,0,0,1.01757376860563
2021-12-18-13:25:18,0,0,0,1,0,0,0,0,0,0,0,2.01196168644776
2021-12-18-13:25:30,0,0,0,0,1,0,0,0,0,0,0,1.01727140441131
2021-12-18-13:25:49,0,0,0,0,0,1,0,0,0,0,0,1.0148783691224
2021-12-18-13:26:02,0,0,0,0,0,0,1,0,0,0,0,1.01493035466427
2021-12-18-13:26:17,0,0,0,0,0,0,0,1,0,0,0,1.0085742573441
2021-12-18-13:26:29,0,0,0,0,0,0,0,0,1,0,0,-0.981147540206023
2021-12-18-13:26:58,0,0,0,0,0,0,0,0,0,1,0,1.01374950510756
2021-12-18-13:27:11,0,0,0,0,0,0,0,0,0,0,1,1.01645537944273
2021-12-18-13:31:03,0,0,0,0,0,0,0,0,0,0,0,1.01302867902558
2021-12-27-12:43:56,0,0,0,0,0,0,0,0,0,0,0,1.01522615680289
2021-12-27-12:43:57,1,0,0,0,0,0,0,0,0,0,0,0.421393721189204
2021-12-27-12:43:57,0,1,0,0,0,0,0,0,0,0,0,1.0144222182163
2021-12-27-12:43:58,0,0,1,0,0,0,0,0,0,0,0,1.01728745973937
2021-12-27-12:43:59,0,0,0,1,0,0,0,0,0,0,0,2.02101414917622
2021-12-27-12:44:00,0,0,0,0,1,0,0,0,0,0,0,1.01455265643121
2021-12-27-12:44:01,0,0,0,0,0,1,0,0,0,0,0,1.0188902923548
2021-12-27-12:44:02,0,0,0,0,0,0,1,0,0,0,0,1.01509181757333
2021-12-27-12:44:03,0,0,0,0,0,0,0,1,0,0,0,1.01513319986642
2021-12-27-12:44:04,0,0,0,0,0,0,0,0,1,0,0,-0.985908574028046
2021-12-27-12:44:04,0,0,0,0,0,0,0,0,0,1,0,1.0110217347447
2021-12-27-12:44:05,0,0,0,0,0,0,0,0,0,0,1,1.01581057134513
2021-12-27-12:44:38,0,0,0,0,0,0,0,0,0,0,0,1.0179756806395
2021-12-27-12:44:39,1,0,0,0,0,0,0,0,0,0,0,0.423102035202321
2021-12-27-12:44:40,0,1,0,0,0,0,0,0,0,0,0,1.01282699675105
2021-12-27-12:44:41,0,0,1,0,0,0,0,0,0,0,0,1.02088685288504
